Project,Alert ID,File,Line,Ground Truth,EVICT Prediction,Confidence,Rationale
jenkinsci__workflow-cps-global-lib-plugin_CVE-2022-25174_544.vff04fa68714d,java/polynomial-redos,src/main/java/org/jenkinsci/plugins/workflow/libs/SCMSourceRetriever.java,246,FP,ABSTAIN,1.00,"Insufficient code context to confirm the nature of the regex usage, making it impossible to reliably..."
apache__shiro_CVE-2023-34478_1.11.0,java/tainted-permissions-check,core/src/main/java/org/apache/shiro/authz/permission/WildcardPermissionResolver.java,75,FP,TP,1.00,"The alert involves a permissions check dependent on a user-controlled value, which can lead to secur..."
apache__shiro_CVE-2023-34478_1.11.0,java/unvalidated-url-redirection,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,300,FP,TP,1.00,The data flow from a user-provided value to a redirect function suggests a potential untrusted redir...
apache__shiro_CVE-2023-34478_1.11.0,java/unvalidated-url-redirection,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,304,FP,TP,1.00,"The alert indicates a user-provided value is used in URL redirection without validation, which is an..."
apache__shiro_CVE-2023-34478_1.11.0,java/http-response-splitting,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,304,FP,TP,1.00,The analysis indicates user-controlled data is used in header construction without explicit sanitiza...
apache__shiro_CVE-2023-34478_1.11.0,java/unsafe-deserialization,lang/src/main/java/org/apache/shiro/io/DefaultSerializer.java,77,FP,TP,1.00,The data flow from a user-provided cookie value to a deserialization process without explicit valida...
apache__shiro_CVE-2023-34478_1.11.0,java/unsafe-deserialization,lang/src/main/java/org/apache/shiro/io/XmlSerializer.java,76,FP,TP,1.00,The data flow shows user-provided data entering a deserialization process without evident validation...
apache__shiro_CVE-2023-34478_1.11.0,java/xxe,lang/src/main/java/org/apache/shiro/io/XmlSerializer.java,76,FP,TP,1.00,The alert describes a potential XML external entity (XXE) vulnerability where user-provided data is ...
alibaba__one-java-agent_CVE-2022-25842_0.0.1,java/zipslip,one-java-agent-plugin/src/main/java/com/alibaba/oneagent/utils/IOUtils.java,122,FP,TP,1.00,"The code uses an unsanitized archive entry in a file operation, which can lead to directory traversa..."
DSpace__DSpace_CVE-2022-31195_5.10,java/stack-trace-exposure,dspace-sword/src/main/java/org/purl/sword/server/ServiceDocumentServlet.java,152,FP,TP,1.00,"The alert suggests that error information could be exposed, which is a security risk. Without seeing..."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-api/src/main/java/org/dspace/rdf/negotiation/Negotiator.java,277,FP,TP,1.00,"User-controlled data flows into URL redirection without validation, indicating a potential redirect ..."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-api/src/main/java/org/dspace/rdf/negotiation/Negotiator.java,307,FP,TP,1.00,The data flow from user-provided values to URL construction suggests a potential untrusted redirecti...
