CWE,Alert ID,File,Line,EVICT Label,Confidence,Stage,Rationale
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__class_getClass_not_equal_01.java,35,FP,1.00,Calibrated,"The alert identifies an always-true expression due to comparing getClass() results of two different objects (Random vs SecureRandom). In the code, random = new Random() and secureRandom = new SecureRandom(); their getClass() values are distinct, so random.getClass().equals(secureRandom.getClass()) is false, and the negation makes the if condition always true. This is a logic bug (Expression Always True) but it does not involve tainted data flow or an exploitable security vulnerability. The sink is an information print (IO.writeLine) and there is no evidence of external input driving the condition. Therefore, this is a false positive with respect to a security vulnerability."
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__n_equal_m_minus_one_01.java,32,FP,1.00,Calibrated,"Analyzer claim would involve a tainted data flow leading to a sink where the condition is always true. In the provided slice, the bad() method uses a constant comparison (30 == (31 - 1)) which is universally true, independent of any external input. There is no tainted source feeding into the condition or sink, and the only observable issue is a logic bug (an always-true expression), not a security vulnerability triggered by input data. The good() variant shows a correct approach using randomness, but that does not establish a real vulnerability path. Therefore, this is a false positive for vulnerability detection (TP would require tainted data influencing a security-sensitive sink)."
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__n_less_int_max_01.java,15,FP,1.00,Calibrated,"The alert corresponds to CWE571 (Expression Always True) on the condition intSecureRandom < Integer.MAX_VALUE. However, nextInt() from SecureRandom can legally produce Integer.MAX_VALUE as one of its possible values, so the expression is not guaranteed to be true in all executions (it is false only when intSecureRandom == Integer.MAX_VALUE). Consequently, there is no guaranteed vulnerability being exploited by the sink (IO.writeLine) — it just prints in most cases, and not for a security-sensitive outcome. Additionally, the sink does not handle or exfiltrate sensitive data. The pattern identifies a logic error rather than a security vulnerability, so this should be considered a false positive rather than a true vulnerability."
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__n_less_int_max_01.java,31,FP,1.00,Calibrated,"The alert references a CWE571 Expression Always True scenario where a random value is compared to Integer.MAX_VALUE. However, the condition intSecureRandom < Integer.MAX_VALUE is not guaranteed to be always true since SecureRandom.nextInt() can legally return Integer.MAX_VALUE, making the comparison false in at least one execution. Therefore the dataflow does not constitute a guaranteed always-true path. Additionally, the source of data is a local randomness source (no external taint), and the sink (IO.writeLine) simply prints output; there is no security-sensitive decision or taint propagation. The pattern 'random object created and used only once' is more indicative of inefficiency or a minor issue rather than a real vulnerability here. Thus this should be classified as a False Positive."
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__private_five_01.java,33,FP,1.00,Calibrated,"SpotBugs alert describes 'Random object created and used only once'. The slice shows a single-use SecureRandom() in good1() used in a comparison, which is a minor inefficiency rather than a security vulnerability. The actual vulnerability-like pattern CWE571 (expression always true) is present in bad() where a private constant equals 5, but the taint flow for that path is not the one being reported by this alert. Thus, the data flow from a one-time random object to a decision does not constitute a true vulnerability in this context; it is a false positive with respect to security risk. The unconditional always-true path in bad() is a separate logic issue, not the dataflow targeted by the random-object alert. "
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__private_static_final_five_01.java,33,FP,1.00,Calibrated,"The alert describes a pattern where a random object is created and used only once to influence a decision. In the given slice, bad() uses a constant (PRIVATE_STATIC_FINAL_FIVE == 5), which is always true, indicating a logic bug (CWE571: Expression Always True) but not a security vulnerability. good1() creates a one-shot SecureRandom object and uses its result in a comparison, but there is no taint source (no external input) or sensitive data exposure. There is no attacker-controlled input or insecure access control being influenced by the random value. Therefore, the dataflow does not constitute a real vulnerability, making this a false positive (FP)."
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__static_final_five_01.java,31,FP,1.00,Calibrated,"The alert describes a potential vulnerability related to a random object being created and used once. However, the actual code shows two patterns: (1) bad() contains a constant expression IO.STATIC_FINAL_FIVE == 5, which is an always-true branch due to a static final constant, representing a logic bug but not a security vulnerability. (2) good() creates a new SecureRandom() and compares its nextInt() to the constant, which is a legitimate random check with no taint source feeding a security-sensitive sink. There is no input from an untrusted source propagating to a security-critical sink, so there is no dataflow from an attacker-controlled input to a sensitive operation. Therefore, this is a false positive with respect to a security vulnerability, even though it demonstrates an always-true condition (and a random object used once) that static analyzers would flag for correctness rather than security. in summary: TP would require tainted input influencing a sensitive sink; none exists here. "
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__static_five_01.java,31,FP,1.00,Calibrated,"The analyzer claim flags a pattern 'Random object created and used only once'. In the provided code, a one-shot SecureRandom() is indeed created and used for a single nextInt() comparison. However, this does not introduce an exploitable vulnerability: there is no tainted input flow to a sensitive sink, and the actual vulnerability demonstration in the snippet is CWE-571 (Expression Always True), a logic bug, not a security flaw caused by a one-time random object. Therefore this pattern is a false positive with respect to security risk."
cwe491,EI_EXPOSE_REP2,juliet/testcases/CWE491_Object_Hijack/CWE491_Object_Hijack__basic_01_bad.java,30,FP,1.00,Calibrated,"Analyzer claim: SpotBugs reports potential exposure of internal representation by incorporating a mutable object reference. Evidence shows the clone() implementation explicitly copies the mutable Date field (objectBad.setDate(new Date(theDate.getTime()))), so it does not return or expose a direct reference to the internal mutable Date object. Although the clone() method is not final (a general CWE-491 concern), this particular data flow does not leak or expose internal representation; it copies the mutable state rather than leaking a reference. Therefore, the specific slice described is a false positive for internal representation exposure. The broader vulnerability (clone not final) is a design concern but not demonstrated as a leaking data flow here."
cwe491,RI_REDUNDANT_INTERFACES,juliet/testcases/CWE491_Object_Hijack/CWE491_Object_Hijack__basic_01_bad.java,15,TP,1.00,Calibrated,"The snippet demonstrates a non-final clone() in a class that implements Cloneable. The CWE491_Object_Hijack pattern concerns object hijack risks when a clone method is not final, allowing a subclass to override and potentially hijack the object type. The alert description mentions 'Class implements same interface as superclass', which is a known precondition for this vulnerability. While there is no tainted data flowing from a source to a sink in this snippet (no taint flow), the vulnerability type is structural and present in the code: a non-final clone() method in a Cloneable-implementing class (likely with a superclass that also implements Cloneable) opens the possibility for a subclass to hijack the object. Therefore it should be treated as a True Positive (vulnerability pattern detected), albeit with incomplete data-flow constraints in the extracted evidence."
