CWE,Alert ID,File,Line,EVICT Label,Confidence,Stage,Rationale
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__class_getClass_not_equal_01.java,35,FP,1.00,Calibrated,"SpotBugs correctly identifies that a Random object is created and used only once, but this is a False Positive in terms of security vulnerability detection. The code is a deliberate test case (CWE-571) designed to demonstrate logic flaws (expressions always evaluating to true), not to test resource management. Creating a Random object once is not a security vulnerability—it's a minor code quality issue at worst. The alert represents a mismatch between what the analyzer detected (code smell) and what constitutes a genuine security vulnerability in this context."
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__n_equal_m_minus_one_01.java,32,TP,1.00,Calibrated,"SpotBugs correctly detects that SecureRandom objects are created and used only once (lines 32-33). This is a legitimate code quality issue - creating new SecureRandom instances repeatedly is inefficient and considered an anti-pattern. However, it's important to note that this is a code quality/performance issue rather than a security vulnerability. The code is functionally correct and safe. In the context of Juliet test cases (which are designed to test analysis tools), this pattern is acceptable and intentional. The True Positive classification is based on the analyzer correctly identifying the reported pattern, even though the severity is low and the code is safe."
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__n_less_int_max_01.java,15,FP,1.00,Calibrated,"This is a False Positive. The alert flags the creation of a SecureRandom object used only once as inefficient, which is technically true from a performance perspective. However, this is test case code (Juliet test suite) intentionally demonstrating CWE-571 (Expression Always True), not a security vulnerability. The actual flaw being tested is the always-true condition (intSecureRandom < Integer.MAX_VALUE), not the SecureRandom instantiation pattern. In test/demonstration code, creating a new SecureRandom instance per method is acceptable and does not constitute a functional security vulnerability. SpotBugs is detecting a code style issue rather than a real security flaw."
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__n_less_int_max_01.java,31,FP,1.00,Calibrated,"While SpotBugs correctly identifies that a SecureRandom object is created and used only once, this is a code quality/efficiency concern rather than a security vulnerability. The test case is explicitly designed to test CWE-571 (Expression Always True), and the Random object pattern is incidental. Creating a new SecureRandom instance is not inherently insecure, though it is inefficient. This alert does not represent a true security vulnerability that would justify a True Positive classification."
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__private_five_01.java,33,TP,1.00,Calibrated,"SpotBugs correctly identifies that a SecureRandom object is instantiated and used only once at line 33 in the good1() method. While this is not a security vulnerability per se, it is a valid code quality concern - creating a new SecureRandom for a single operation is inefficient and generally considered poor practice. The pattern is correctly detected. However, since this is test case code (Juliet testcases are specifically designed for testing analysis tools), the alert may be acceptable in this context. Nevertheless, as a static analysis detection, this is a True Positive."
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__private_static_final_five_01.java,33,FP,1.00,Calibrated,"SpotBugs is flagging a 'Random object created and used only once' pattern at line 33 where `new SecureRandom().nextInt()` is called. This is a false positive because: (1) Creating a SecureRandom instance for a single use is a valid and common Java pattern, especially for one-off random value generation; (2) This is Juliet test case code designed to demonstrate CWE-571, not production code where such patterns would be problematic; (3) The code functions correctly with no actual vulnerability or logic defect; (4) While this could be flagged as a minor code quality/efficiency concern, it does not represent a real security vulnerability. The analyzer lacks context that this is intentional test code demonstrating a fix."
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__static_final_five_01.java,31,TP,1.00,Calibrated,"SpotBugs correctly identifies that a SecureRandom object is instantiated with 'new SecureRandom()' and used only once (calling nextInt()) before being discarded at line 31. This is a genuine code quality issue: creating a new SecureRandom instance for a single use is inefficient and can result in poor random number quality due to inadequate seeding. While this appears in a Juliet test case (where such patterns may be intentional for testing), the underlying pattern is a real vulnerability/anti-pattern. The alert accurately identifies the problematic code structure."
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__static_five_01.java,31,TP,1.00,Calibrated,"SpotBugs correctly identifies that a SecureRandom object is instantiated at line 31 and used only once via the nextInt() call. The object is not stored or reused, making this an inefficient pattern. While this is a code quality issue rather than a security vulnerability, the alert accurately reflects the actual code pattern present. The fact that this is in a Juliet test case (designed to test static analysis tools) suggests the pattern may be intentional, but the detector's claim is factually correct."
cwe491,EI_EXPOSE_REP2,juliet/testcases/CWE491_Object_Hijack/CWE491_Object_Hijack__basic_01_bad.java,30,TP,1.00,Calibrated,"This is a legitimate CWE-491 Object Hijack vulnerability. The class implements Cloneable with a non-final clone() method (line 19), allowing subclasses to override it. The class contains mutable objects (Date theDate at line 16), and a malicious subclass could override clone() to return the original mutable object instead of a defensive copy, thus exposing the internal representation. The fact that the current implementation includes defensive copying is irrelevant because the non-final declaration allows subclasses to bypass this protection. This is a genuine design flaw that could lead to object hijacking attacks."
cwe491,RI_REDUNDANT_INTERFACES,juliet/testcases/CWE491_Object_Hijack/CWE491_Object_Hijack__basic_01_bad.java,15,FP,1.00,Calibrated,"This alert flags a potential redundant interface implementation, which is a code style issue at worst, not a security vulnerability. The alert is unrelated to the actual CWE491 Object Hijack vulnerability in the code (which stems from the non-final clone() method). Additionally, without access to the superclass implementation and given the incomplete flow analysis (Flow Partial: True, Constraints Missing: True), SpotBugs cannot definitively determine if the interface is actually redundantly implemented. Even if it were redundant, implementing an interface twice is not a security concern. This is a False Positive."
