Project,Alert ID,File,Line,Ground Truth,EVICT Prediction,Confidence,Rationale
jenkinsci__workflow-cps-global-lib-plugin_CVE-2022-25174_544.vff04fa68714d,java/polynomial-redos,src/main/java/org/jenkinsci/plugins/workflow/libs/SCMSourceRetriever.java,246,FP,TP,1.00,"User input affects regex performance, indicating potential for code execution...."
apache__shiro_CVE-2023-34478_1.11.0,java/tainted-permissions-check,core/src/main/java/org/apache/shiro/authz/permission/WildcardPermissionResolver.java,75,FP,TP,1.00,Permissions check depends on user-controlled values with no explicit path constraints. This indicate...
apache__shiro_CVE-2023-34478_1.11.0,java/unvalidated-url-redirection,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,300,FP,TP,1.00,The alert indicates untrusted URL redirection based on user-provided values. The data flow traces sh...
apache__shiro_CVE-2023-34478_1.11.0,java/unvalidated-url-redirection,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,304,FP,TP,1.00,"Untrusted URL redirection based on user input is a classic security vulnerability. The code slice, t..."
apache__shiro_CVE-2023-34478_1.11.0,java/http-response-splitting,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,304,FP,TP,1.00,"The alert indicates response-splitting vulnerability, which is a common type of bug. The data flow f..."
apache__shiro_CVE-2023-34478_1.11.0,java/unsafe-deserialization,lang/src/main/java/org/apache/shiro/io/DefaultSerializer.java,77,FP,FP,1.00,"No explicit path constraints, missing constraints, and source code slice unreadable indicate potenti..."
apache__shiro_CVE-2023-34478_1.11.0,java/unsafe-deserialization,lang/src/main/java/org/apache/shiro/io/XmlSerializer.java,76,FP,TP,1.00,"User-provided data flows into XmlSerializer, a known sink for unsafe deserialization. No explicit pa..."
apache__shiro_CVE-2023-34478_1.11.0,java/xxe,lang/src/main/java/org/apache/shiro/io/XmlSerializer.java,76,FP,FP,1.00,"No explicit path constraints, missing constraints, and inability to read source file indicate potent..."
alibaba__one-java-agent_CVE-2022-25842_0.0.1,java/zipslip,one-java-agent-plugin/src/main/java/com/alibaba/oneagent/utils/IOUtils.java,122,FP,TP,1.00,Unsanitized archive entry used in filesystem operation without path constraints indicates potential ...
DSpace__DSpace_CVE-2022-31195_5.10,java/stack-trace-exposure,dspace-sword/src/main/java/org/purl/sword/server/ServiceDocumentServlet.java,152,FP,ABSTAIN,1.00,"Code slice empty, no evidence to reconstruct claim or validate preconditions...."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-api/src/main/java/org/dspace/rdf/negotiation/Negotiator.java,277,FP,TP,1.00,"Untrusted URL redirection depends on user-provided values, indicating a potential vulnerability. Dat..."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-api/src/main/java/org/dspace/rdf/negotiation/Negotiator.java,307,FP,TP,1.00,Untrusted URL redirection is a known security vulnerability when dependent on user input without pro...
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/ControlledVocabularyServlet.java,53,FP,TP,1.00,"Untrusted URL redirection depends on user input, indicating potential for injection attacks. No expl..."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/SearchResultLogServlet.java,71,FP,FP,1.00,"alert indicates data flow from potentially untrusted source to sink but code slice is unreadable, pr..."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/VersionHistoryServlet.java,112,FP,TP,1.00,Untrusted URL redirection depends on a user-provided value which can lead to injection attacks....
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/admin/MetadataFieldRegistryServlet.java,211,FP,ABSTAIN,1.00,"Code slice is empty, making analysis and decision impossible...."
