slug,alert_id,file,line,gt,pred,conf
DSpace__DSpace_CVE-2022-31195_5.10,java/path-injection,dspace-api/src/main/java/org/dspace/core/NewsManager.java,58,FP,TP,0.6
DSpace__DSpace_CVE-2022-31194_5.10,java/regex-injection,dspace-jspui/src/main/java/org/dspace/app/webui/handle/HandleJSONResolver.java,36,FP,TP,1.0
apache__shiro_CVE-2023-34478_1.11.0,java/unvalidated-url-redirection,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,304,FP,TP,1.0
apache__myfaces_CVE-2011-4367_2.0.11,java/path-injection,impl/src/main/java/org/apache/myfaces/view/facelets/util/Resource.java,100,FP,TP,0.6
apache__myfaces_CVE-2011-4367_2.0.11,java/stack-trace-exposure,impl/src/main/java/org/apache/myfaces/view/jsp/JspViewDeclarationLanguage.java,227,FP,TP,0.8
DSpace__DSpace_CVE-2022-31195_5.10,java/xxe,dspace-api/src/main/java/org/dspace/submit/lookup/CrossRefService.java,117,FP,TP,0.8
DSpace__DSpace_CVE-2022-31195_5.10,java/zipslip,dspace-api/src/main/java/org/dspace/app/itemimport/ItemImport.java,2078,TP,TP,1.0
DSpace__DSpace_CVE-2022-31195_5.10,java/http-response-splitting,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/MyDSpaceServlet.java,727,FP,TP,0.8
perwendel__spark_CVE-2018-9159_2.7.1,java/path-injection,src/main/java/spark/resource/ExternalResource.java,67,FP,TP,1.0
DSpace__DSpace_CVE-2022-31194_5.10,java/path-injection,dspace-api/src/main/java/org/dspace/app/itemexport/ItemExport.java,1155,FP,TP,0.6
DSpace__DSpace_CVE-2022-31194_5.10,java/zipslip,dspace-api/src/main/java/org/dspace/app/itemimport/ItemImport.java,2065,FP,TP,1.0
DSpace__DSpace_CVE-2022-31195_5.10,java/weak-cryptographic-algorithm,dspace-api/src/main/java/org/dspace/storage/bitstore/BitstreamStorageManager.java,457,FP,TP,1.0
apache__myfaces_CVE-2011-4367_2.0.11,java/stack-trace-exposure,impl/src/main/java/org/apache/myfaces/context/PartialResponseWriterImpl.java,467,FP,TP,0.6
apache__myfaces_CVE-2011-4367_2.0.11,java/weak-cryptographic-algorithm,shared/src/main/java/org/apache/myfaces/shared/util/StateUtils.java,834,FP,TP,1.0
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,java/insecure-cookie,testsuite/integration/web/src/test/java/org/jboss/as/test/integration/web/cookie/CookieReadServlet.java,72,FP,FP,0.6
DSpace__DSpace_CVE-2022-31194_5.10,java/polynomial-redos,dspace-api/src/main/java/org/dspace/discovery/SolrServiceImpl.java,2089,FP,TP,1.0
apache__jspwiki_CVE-2019-0225_2.11.0.M2,java/xss,jspwiki-main/src/main/java/org/apache/wiki/tags/FeedDiscoveryTag.java,59,FP,FP,0.6
perwendel__spark_CVE-2018-9159_2.7.1,java/path-injection,src/main/java/spark/resource/ClassPathResource.java,139,TP,TP,0.6
apache__myfaces_CVE-2011-4367_2.0.11,java/stack-trace-exposure,impl/src/main/java/org/apache/myfaces/renderkit/ErrorPageWriter.java,320,FP,ABSTAIN,0.6
spring-cloud__spring-cloud-config_CVE-2020-5410_2.1.8.RELEASE,java/polynomial-redos,spring-cloud-config-server/src/main/java/org/springframework/cloud/config/server/encryption/EnvironmentPrefixHelper.java,128,FP,ABSTAIN,1.0
apache__shiro_CVE-2023-34478_1.11.0,java/unsafe-deserialization,lang/src/main/java/org/apache/shiro/io/XmlSerializer.java,76,FP,TP,1.0
DSpace__DSpace_CVE-2022-31194_5.10,java/unvalidated-url-redirection,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/admin/MetadataFieldRegistryServlet.java,211,FP,TP,0.8
ESAPI__esapi-java-legacy_CVE-2022-23457_2.2.3.1,java/insecure-cookie,src/main/java/org/owasp/esapi/reference/DefaultHTTPUtilities.java,993,FP,TP,1.0
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,java/xss,testsuite/shared/src/main/java/org/wildfly/test/security/servlets/ReadCredentialServlet.java,109,FP,TP,0.8
asf__tapestry-5_CVE-2019-0207_5.4.4,java/insecure-cookie,tapestry-core/src/main/java/org/apache/tapestry5/modules/InternalModule.java,95,FP,TP,0.6
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,java/insecure-trustmanager,testsuite/shared/src/main/java/org/jboss/as/test/http/util/TestHttpClientUtils.java,91,FP,TP,0.6
ESAPI__esapi-java-legacy_CVE-2022-23457_2.2.3.1,java/insecure-cookie,src/main/java/org/owasp/esapi/filters/SecurityWrapperResponse.java,110,FP,TP,1.0
apache__myfaces_CVE-2011-4367_2.0.11,java/stack-trace-exposure,api/src/main/java/javax/faces/webapp/_PageContextOutWriter.java,73,FP,ABSTAIN,0.6
asf__commons-io_CVE-2021-29425_2.6,java/polynomial-redos,src/test/java/org/apache/commons/io/input/compatibility/XmlStreamReader.java,700,FP,TP,0.8
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,java/xss,testsuite/shared/src/main/java/org/wildfly/test/security/servlets/ReadCredentialServlet.java,127,FP,TP,0.6
DSpace__DSpace_CVE-2022-31195_5.10,java/weak-cryptographic-algorithm,dspace-api/src/main/java/org/dspace/storage/bitstore/BitstreamStorageManager.java,414,FP,ABSTAIN,0.6
jeremylong__DependencyCheck_CVE-2018-12036_3.1.2,java/zipslip,core/src/main/java/org/owasp/dependencycheck/utils/ExtractionUtil.java,102,TP,TP,1.0
DSpace__DSpace_CVE-2022-31195_5.10,java/tainted-format-string,dspace-api/src/main/java/org/dspace/content/LicenseUtils.java,89,FP,TP,0.8
dromara__hutool_CVE-2018-17297_4.1.11,java/unsafe-hostname-verification,hutool-http/src/main/java/cn/hutool/http/HttpConnection.java,578,FP,TP,1.0
