Project,Alert ID,File,Line,Ground Truth,EVICT Prediction,Confidence,Rationale
jenkinsci__workflow-cps-global-lib-plugin_CVE-2022-25174_544.vff04fa68714d,java/polynomial-redos,src/main/java/org/jenkinsci/plugins/workflow/libs/SCMSourceRetriever.java,246,FP,TP,1.00,The alert describes a potential performance issue in a regular expression that depends on user-provi...
apache__shiro_CVE-2023-34478_1.11.0,java/tainted-permissions-check,core/src/main/java/org/apache/shiro/authz/permission/WildcardPermissionResolver.java,75,FP,TP,1.00,The alert describes a situation where permissions in Apache Shiro are being checked based on user-co...
apache__shiro_CVE-2023-34478_1.11.0,java/unvalidated-url-redirection,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,300,FP,TP,1.00,The alert describes a potential security vulnerability where untrusted user input is used to redirec...
apache__shiro_CVE-2023-34478_1.11.0,java/unvalidated-url-redirection,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,304,FP,TP,1.00,The alert describes a potential vulnerability where untrusted user input is used to redirect the use...
apache__shiro_CVE-2023-34478_1.11.0,java/http-response-splitting,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,304,FP,TP,1.00,The alert identifies a potential response-splitting vulnerability due to the use of user-provided va...
apache__shiro_CVE-2023-34478_1.11.0,java/unsafe-deserialization,lang/src/main/java/org/apache/shiro/io/DefaultSerializer.java,77,FP,TP,1.00,The alert indicates a potential vulnerability due to unsafe deserialization that depends on a user-p...
apache__shiro_CVE-2023-34478_1.11.0,java/unsafe-deserialization,lang/src/main/java/org/apache/shiro/io/XmlSerializer.java,76,FP,TP,1.00,"The alert indicates unsafe deserialization that depends on a user-provided value, which is a common ..."
apache__shiro_CVE-2023-34478_1.11.0,java/xxe,lang/src/main/java/org/apache/shiro/io/XmlSerializer.java,76,FP,TP,1.00,The alert describes a scenario where XML parsing relies on a user-provided value without proper prot...
alibaba__one-java-agent_CVE-2022-25842_0.0.1,java/zipslip,one-java-agent-plugin/src/main/java/com/alibaba/oneagent/utils/IOUtils.java,122,FP,TP,1.00,The alert indicates a potential vulnerability where an unsanitized archive entry containing '..' is ...
DSpace__DSpace_CVE-2022-31195_5.10,java/stack-trace-exposure,dspace-sword/src/main/java/org/purl/sword/server/ServiceDocumentServlet.java,152,FP,ABSTAIN,1.00,"The provided code slice is completely empty, making it impossible to analyze the data flow or predic..."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-api/src/main/java/org/dspace/rdf/negotiation/Negotiator.java,277,FP,TP,1.00,"The alert describes a potential vulnerability where untrusted user input is used to redirect URLs, w..."
