Project,Alert ID,File,Line,Ground Truth,EVICT Prediction,Confidence,Rationale
jenkinsci__workflow-cps-global-lib-plugin_CVE-2022-25174_544.vff04fa68714d,java/polynomial-redos,src/main/java/org/jenkinsci/plugins/workflow/libs/SCMSourceRetriever.java,246,FP,TP,1.00,Analyzer claims regex with user input is slow on '../' paths. Evidence shows user input flows to reg...
apache__shiro_CVE-2023-34478_1.11.0,java/tainted-permissions-check,core/src/main/java/org/apache/shiro/authz/permission/WildcardPermissionResolver.java,75,FP,TP,1.00,Analyzer claims user input influences permission checks. Evidence shows tainted data from JdbcRealm ...
apache__shiro_CVE-2023-34478_1.11.0,java/unvalidated-url-redirection,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,300,FP,TP,1.00,Analyzer claims untrusted URL redirection from user input. Source: PortFilter.java:114 (likely user-...
apache__shiro_CVE-2023-34478_1.11.0,java/unvalidated-url-redirection,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,304,FP,TP,1.00,Analyzer claims user-controlled input reaches a redirect sink. Evidence shows data flow from PortFil...
apache__shiro_CVE-2023-34478_1.11.0,java/http-response-splitting,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,304,FP,TP,1.00,1. Analyzer claim: User-controlled input to `PortFilter` can lead to response splitting via `Redirec...
apache__shiro_CVE-2023-34478_1.11.0,java/unsafe-deserialization,lang/src/main/java/org/apache/shiro/io/DefaultSerializer.java,77,FP,TP,1.00,Analyzer claims unsafe deserialization from user input. Evidence shows data flow from SimpleCookie (...
apache__shiro_CVE-2023-34478_1.11.0,java/unsafe-deserialization,lang/src/main/java/org/apache/shiro/io/XmlSerializer.java,76,FP,TP,1.00,"Analyzer claims unsafe deserialization via user-controlled input. Source is SimpleCookie, sink is Xm..."
apache__shiro_CVE-2023-34478_1.11.0,java/xxe,lang/src/main/java/org/apache/shiro/io/XmlSerializer.java,76,FP,TP,1.00,Analyzer claims XML parsing vulnerable to external entity expansion due to unsanitized user input. E...
alibaba__one-java-agent_CVE-2022-25842_0.0.1,java/zipslip,one-java-agent-plugin/src/main/java/com/alibaba/oneagent/utils/IOUtils.java,122,FP,TP,1.00,Analyzer claims unsanitized archive entry used in file op. Evidence shows data flowing from archive ...
DSpace__DSpace_CVE-2022-31195_5.10,java/stack-trace-exposure,dspace-sword/src/main/java/org/purl/sword/server/ServiceDocumentServlet.java,152,FP,ABSTAIN,1.00,Code slice empty. Cannot analyze....
