Project,Alert ID,File,Line,Ground Truth,EVICT Prediction,Confidence,Rationale
jenkinsci__workflow-cps-global-lib-plugin_CVE-2022-25174_544.vff04fa68714d,java/polynomial-redos,src/main/java/org/jenkinsci/plugins/workflow/libs/SCMSourceRetriever.java,246,FP,TP,1.00,The alert suggests a regex with user-provided input may cause performance issues due to slow executi...
apache__shiro_CVE-2023-34478_1.11.0,java/tainted-permissions-check,core/src/main/java/org/apache/shiro/authz/permission/WildcardPermissionResolver.java,75,FP,ABSTAIN,1.00,"The program slice is empty, making it impossible to evaluate the data flow and determine if the aler..."
apache__shiro_CVE-2023-34478_1.11.0,java/unvalidated-url-redirection,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,300,FP,TP,1.00,"The alert indicates untrusted URL redirection based on user-provided values, which is a classic open..."
apache__shiro_CVE-2023-34478_1.11.0,java/unvalidated-url-redirection,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,304,FP,FP,1.00,"The data flow shows that a user-provided value can lead to a URL redirection, but the source file fo..."
apache__shiro_CVE-2023-34478_1.11.0,java/http-response-splitting,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,304,FP,FP,1.00,"While the alert mentions a user-provided value influencing a header, the data flow traces and lack o..."
apache__shiro_CVE-2023-34478_1.11.0,java/unsafe-deserialization,lang/src/main/java/org/apache/shiro/io/DefaultSerializer.java,77,FP,TP,1.00,The alert indicates unsafe deserialization from a user-provided value. The data flow traces show the...
apache__shiro_CVE-2023-34478_1.11.0,java/unsafe-deserialization,lang/src/main/java/org/apache/shiro/io/XmlSerializer.java,76,FP,ABSTAIN,1.00,"The code slice for the sink is completely empty, making it impossible to evaluate the deserializatio..."
apache__shiro_CVE-2023-34478_1.11.0,java/xxe,lang/src/main/java/org/apache/shiro/io/XmlSerializer.java,76,FP,TP,1.00,The alert indicates XML parsing with a user-provided value without guarding against external entity ...
alibaba__one-java-agent_CVE-2022-25842_0.0.1,java/zipslip,one-java-agent-plugin/src/main/java/com/alibaba/oneagent/utils/IOUtils.java,122,FP,ABSTAIN,1.00,"The program slice is completely empty, making it impossible to evaluate the data flow and determine ..."
DSpace__DSpace_CVE-2022-31195_5.10,java/stack-trace-exposure,dspace-sword/src/main/java/org/purl/sword/server/ServiceDocumentServlet.java,152,FP,ABSTAIN,1.00,"The program slice is completely empty, making it impossible to evaluate the data flow and determine ..."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-api/src/main/java/org/dspace/rdf/negotiation/Negotiator.java,277,FP,ABSTAIN,1.00,"The code slice for the source file is completely empty, making it impossible to evaluate the data fl..."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-api/src/main/java/org/dspace/rdf/negotiation/Negotiator.java,307,FP,ABSTAIN,1.00,"The source file for Negotiator.java could not be read, making it impossible to fully analyze the dat..."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/ControlledVocabularyServlet.java,53,FP,ABSTAIN,1.00,"The program slice is empty, making it impossible to evaluate the data flow and preconditions for the..."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/SearchResultLogServlet.java,71,FP,ABSTAIN,1.00,"The program slice is empty, making it impossible to determine if the data flow from the source to th..."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/VersionHistoryServlet.java,112,FP,ABSTAIN,1.00,"The code slice for the sink location is completely empty, making it impossible to verify the data fl..."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/admin/MetadataFieldRegistryServlet.java,211,FP,ABSTAIN,1.00,"The provided code slice is empty, making it impossible to evaluate the alert's validity...."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-xmlui/src/main/java/org/dspace/app/xmlui/aspect/eperson/LoginRedirect.java,84,FP,ABSTAIN,1.00,"The program slice could not be read, making it impossible to determine if the alert is a True Positi..."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-xmlui/src/main/java/org/dspace/app/xmlui/cocoon/DSpaceCocoonServletFilter.java,258,FP,ABSTAIN,1.00,"The program slice is completely empty, making it impossible to reconstruct the analyzer's claim or c..."
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-xmlui/src/main/java/org/dspace/app/xmlui/cocoon/DSpaceCocoonServletFilter.java,270,FP,ABSTAIN,1.00,"The code slice is completely empty, making it impossible to verify the data flow and check the preco..."
